Elapsed time,EKG
00:01:230:488,344
00:01:231:488,341
00:01:232:488,339
00:01:233:492,339
00:01:234:492,334
00:01:235:492,334
00:01:236:492,329
00:01:237:496,326
00:01:238:496,323
00:01:239:500,326
00:01:240:500,323
00:01:241:504,323
00:01:242:504,327
00:01:243:508,327
00:01:244:512,331
00:01:245:512,335
00:01:246:516,339
00:01:247:520,343
00:01:248:524,345
00:01:249:524,348
00:01:250:524,348
00:01:251:528,348
00:01:252:528,348
00:01:253:532,347
00:01:254:536,345
00:01:255:540,344
00:01:256:540,341
00:01:257:544,338
00:01:258:548,336
00:01:259:552,335
00:01:260:552,335
00:01:261:552,332
00:01:262:556,332
00:01:263:556,334
00:01:264:560,340
00:01:265:564,339
00:01:266:568,341
00:01:267:572,344
00:01:268:576,345
00:01:269:576,348
00:01:270:580,349
00:01:271:584,348
00:01:272:588,348
00:01:273:588,348
00:01:274:588,346
00:01:275:588,343
00:01:276:592,341
00:01:277:592,345
00:01:278:596,340
00:01:279:600,341
00:01:280:600,344
00:01:281:600,347
00:01:282:600,348
00:01:283:604,352
00:01:284:608,359
00:01:285:612,363
00:01:286:616,364
00:01:287:616,368
00:01:288:616,371
00:01:289:620,372
00:01:290:620,372
00:01:291:620,375
00:01:292:620,371
00:01:293:620,368
00:01:294:624,364
00:01:295:628,364
00:01:296:632,357
00:01:297:636,355
00:01:298:640,353
00:01:299:644,351
00:01:300:644,350
00:01:301:648,350
00:01:302:652,352
00:01:303:656,354
00:01:304:660,358
00:01:305:664,363
00:01:306:668,366
00:01:307:672,368
00:01:308:672,371
00:01:309:672,375
00:01:310:672,376
00:01:311:672,377
00:01:312:676,377
00:01:313:680,379
00:01:314:684,379
00:01:315:688,378
00:01:316:692,376
00:01:317:696,375
00:01:318:700,374
00:01:319:704,373
00:01:320:708,376
00:01:321:712,374
00:01:322:712,376
00:01:323:712,377
00:01:324:716,379
00:01:325:720,383
00:01:326:724,382
00:01:327:728,388
00:01:328:732,384
00:01:329:736,385
00:01:330:740,384
00:01:331:740,379
00:01:332:744,376
00:01:333:748,377
00:01:334:752,370
00:01:335:756,366
00:01:336:760,362
00:01:337:764,359
00:01:338:764,358
00:01:339:764,353
00:01:340:764,352
00:01:341:764,352
00:01:342:768,350
00:01:343:772,352
00:01:344:776,353
00:01:345:788,359
00:01:346:792,359
00:01:347:796,364
00:01:348:796,363
00:01:349:800,365
00:01:350:804,364
00:01:351:808,366
00:01:352:812,365
00:01:353:816,363
00:01:354:820,359
00:01:355:824,356
00:01:356:828,354
00:01:357:832,353
00:01:358:836,352
00:01:359:840,348
00:01:360:840,348
00:01:361:844,348
00:01:362:848,350
00:01:363:852,350
00:01:364:852,352
00:01:365:852,355
00:01:366:856,355
00:01:367:860,356
00:01:368:864,357
00:01:369:864,357
00:01:370:868,359
00:01:371:868,357
00:01:372:872,352
00:01:373:876,352
00:01:374:876,348
00:01:375:876,342
00:01:376:876,337
00:01:377:880,334
00:01:378:884,332
00:01:379:884,331
00:01:380:888,330
00:01:381:888,331
00:01:382:892,335
00:01:383:896,334
00:01:384:900,339
00:01:385:900,341
00:01:386:904,343
00:01:387:908,344
00:01:388:912,346
00:01:389:912,345
00:01:390:916,345
00:01:391:920,345
00:01:392:924,344
00:01:393:924,343
00:01:394:924,339
00:01:395:928,335
